package_name_old,package_name_new,package_name_general,license_new,license_old
aioitertools,aioitertools,aioitertools,MIT license,
aioresponses,aioresponses,aioresponses,MIT license,
aiosqlite,aiosqlite,aiosqlite,MIT license,
alabaster,alabaster,alabaster,BSD license,
aniso8601,aniso8601,aniso8601,BSD license,
annotated-types,annotated-types,annotated_types,MIT license,
ansible-core,ansible-core,ansible_core,GNU General Public License v3.0 or later,
apache-airflow,apache-airflow,apache_airflow,Apache license,
apache-airflow-providers-cncf-kubernetes,apache-airflow-providers-cncf-kubernetes,apache_airflow_providers_cncf_kubernetes,Apache license,
apache-airflow-providers-common-compat,apache-airflow-providers-common-compat,apache_airflow_providers_common_compat,Apache license,
apache-airflow-providers-common-sql,apache-airflow-providers-common-sql,apache_airflow_providers_common_sql,Apache license,
apache-airflow-providers-databricks,apache-airflow-providers-databricks,apache_airflow_providers_databricks,Apache license,
apache-airflow-providers-fab,apache-airflow-providers-fab,apache_airflow_providers_fab,Apache license,
apache-airflow-providers-google,apache-airflow-providers-google,apache_airflow_providers_google,Apache license,
apache-airflow-providers-http,apache-airflow-providers-http,apache_airflow_providers_http,Apache license,
apache-airflow-providers-mysql,apache-airflow-providers-mysql,apache_airflow_providers_mysql,Apache license,
apache-airflow-providers-slack,apache-airflow-providers-slack,apache_airflow_providers_slack,Apache license,
apache-airflow-providers-snowflake,apache-airflow-providers-snowflake,apache_airflow_providers_snowflake,Apache license,
apache-airflow-providers-sqlite,apache-airflow-providers-sqlite,apache_airflow_providers_sqlite,Apache license,
apache-airflow-providers-ssh,apache-airflow-providers-ssh,apache_airflow_providers_ssh,Apache license,
apispec,apispec,apispec,MIT license,
arrow,arrow,arrow,Apache license,
,autocommand,autocommand,GNU Lesser General Public License v3.0 only,
aws-requests-auth,aws-requests-auth,aws_requests_auth,BSD license,
backcall,backcall,backcall,BSD license,
,backports.tarfile,backports.tarfile,MIT license,
backports.tarfile,backports.tarfile,backports.tarfile,MIT license,
blinker,blinker,blinker,MIT license,
boltons,boltons,boltons,BSD license,
chromadb,chromadb,chromadb,Apache license,
cloudpathlib,cloudpathlib,cloudpathlib,MIT license,
colorama,colorama,colorama,BSD license,
colorful,colorful,colorful,MIT license,
configparser,configparser,configparser,MIT license,
confluent-kafka,confluent-kafka,confluent_kafka,Apache license,
cssselect2,cssselect2,cssselect2,BSD license,
databricks-labs-blueprint,databricks-labs-blueprint,databricks_labs_blueprint,other/proprietary license,
databricks-sdk,databricks-sdk,databricks_sdk,Apache license,
db-dtypes,db-dtypes,db_dtypes,Apache license,
dbt-adapters,dbt-adapters,dbt_adapters,Apache license,
dbt-core,dbt-core,dbt_core,Apache license,
dbt-extractor,dbt-extractor,dbt_extractor,Apache license,Apache license 2.0
deepdiff,deepdiff,deepdiff,MIT license,
deltalake,deltalake,deltalake,Apache license,MIT license
django-filter,django-filter,django_filter,BSD license,
docutils,docutils,docutils,Public domain,
duckdb,duckdb,duckdb,MIT license,
editables,editables,editables,MIT license,
elastic-transport,elastic-transport,elastic_transport,Apache license,
emoji,emoji,emoji,BSD license,
entrypoints,entrypoints,entrypoints,MIT license,
exceptiongroup,exceptiongroup,exceptiongroup,MIT license,
fastapi,fastapi,fastapi,MIT license,
flask-cors,flask-cors,flask_cors,UNKNOWN,
flask-session,flask-session,flask_session,BSD license,
flask-sqlalchemy,flask-sqlalchemy,flask_sqlalchemy,BSD license,
glom,glom,glom,BSD license,
google-re2,google-re2,google_re2,BSD license,
gspread,gspread,gspread,MIT license,
hf-xet,hf-xet,hf_xet,Apache license,Apache license 2.0
ibm-cloud-sdk-core,ibm-cloud-sdk-core,ibm_cloud_sdk_core,Apache license,
ibmcloudant,ibmcloudant,ibmcloudant,Apache license,
id,id,id,Apache license,
idna,idna,idna,BSD license,
imbalanced-learn,imbalanced-learn,imbalanced_learn,MIT license,
importlib-metadata,importlib-metadata,importlib_metadata,Apache license,
,importlib-metadata,importlib_metadata,Apache license,
importlib-resources,importlib-resources,importlib_resources,Apache license,
incremental,incremental,incremental,MIT license,
inflect,inflect,inflect,MIT license,
,inflect,inflect,MIT license,
installer,installer,installer,MIT license,
ipython-pygments-lexers,ipython-pygments-lexers,ipython_pygments_lexers,BSD license,
isoduration,isoduration,isoduration,ISC license (iscl),
itsdangerous,itsdangerous,itsdangerous,BSD license,
jaraco.classes,jaraco.classes,jaraco.classes,MIT license,
jaraco.collections,jaraco.collections,jaraco.collections,MIT license,
,jaraco.context,jaraco.context,MIT license,
jaraco.context,jaraco.context,jaraco.context,MIT license,
jaraco.functools,jaraco.functools,jaraco.functools,MIT license,
jaraco.text,jaraco.text,jaraco.text,MIT license,
,jaraco.text,jaraco.text,MIT license,
,jaraco-functools,jaraco_functools,MIT license,
jinja2,jinja2,jinja2,BSD license,
jira,jira,jira,BSD license,
kafka-python,kafka-python,kafka_python,Apache license,
keyring,keyring,keyring,MIT license,
keyrings.google-artifactregistry-auth,keyrings.google-artifactregistry-auth,keyrings.google_artifactregistry_auth,Apache license,
kfp,kfp,kfp,Apache license,
langcodes,langcodes,langcodes,MIT license,
language-data,language-data,language_data,MIT license,
,license-scanner,license_scanner,MIT license,
